,batsman_name,batsman_pkey,smart_runs,runs,dismissals,balls,no_innings,average_nominal,strike_rate_nominal,R_0_nominal,R_nominal,SA,SSR,R_0,R
0,AB de Villiers,21.0,3412.3717146565577,2963.0,67,1828,84,44.223880597014926,162.08971553610505,0.4052242888402626,0.6483588621444202,50.93092111427698,186.6724132744288,1.247486820713405,0.7462890987797693
1,Devon Conway,637.0,1658.961422399687,1537.0,28,1079,34,54.892857142857146,142.44670991658944,0.3561167747914736,0.5697868396663577,59.24862222856025,153.74990012972077,1.2302984224045548,0.7351072907672996
2,Lokesh Rahul,177.0,3333.7584480700907,2991.0,62,2099,71,48.24193548387097,142.49642686993806,0.3562410671748451,0.5699857074797523,53.77029754951759,158.82603373368704,1.169812764203367,0.6957587135839738
3,Cam Fletcher,3069.0,812.7465297096742,776.0,15,549,32,51.73333333333333,141.3479052823315,0.3533697632058288,0.5653916211293261,54.18310198064494,148.0412622421993,1.1293944900184147,0.6694648510605071
4,Andre Russell,90.0,2594.2733525700214,2294.0,70,1267,95,32.77142857142857,181.05761641673243,0.4526440410418311,0.7242304656669297,37.06104789385745,204.7571706842953,1.116977257808442,0.6613868961444473
5,Laurie Evans,924.0,2309.1255998301967,2104.0,46,1518,65,45.73913043478261,138.6034255599473,0.3465085638998683,0.5544137022397893,50.19838260500428,152.11631092425537,1.0870549776255878,0.6419211387022472
6,Luke Ronchi,532.0,1876.9221977579764,1539.0,50,966,54,30.78,159.3167701863354,0.3982919254658384,0.6372670807453416,37.53844395515953,194.2983641571404,1.0789402691015906,0.6366421644102815
7,Babar Azam,426.0,3715.1585578283066,3445.0,74,2603,88,46.554054054054056,132.3472915866308,0.330868228966577,0.5293891663465232,50.2048453760582,142.72602988199412,1.046551736395097,0.6155720013839143
8,Aaron Finch,219.0,3288.764770248135,2949.0,76,1972,92,38.80263157894737,149.54361054766736,0.3738590263691684,0.5981744421906694,43.27322066115967,166.77306137160926,1.0462219743852552,0.6153574767134012
9,Matthew Wade,390.0,1444.3338047321308,1252.0,35,844,37,35.77142857142857,148.34123222748815,0.3708530805687203,0.5933649289099525,41.266680135203735,171.12959771707713,1.0348654823199095,0.607969579849012
10,Moeen Ali,12.0,1417.128568938046,1250.0,38,768,48,32.89473684210526,162.76041666666666,0.4069010416666666,0.6510416666666666,37.292857077317,184.52194908047477,1.0329748815904156,0.6067396610395001
11,MS Dhoni,23.0,1450.6239053364689,1447.0,29,1061,54,49.89655172413793,136.3807728557964,0.340951932139491,0.5455230914231857,50.02151397711962,136.7223284954259,1.0178350900743598,0.5968905617203282
12,Rahmanullah Gurbaz,357.0,1055.0389195637613,869.0,32,544,31,27.15625,159.74264705882354,0.3993566176470588,0.6389705882352941,32.96996623636754,193.94097786098556,1.0086524640984686,0.5909168602230884
13,Joe Clarke,868.0,1142.7831380492694,970.0,30,649,33,32.333333333333336,149.46070878274267,0.3736517719568566,0.5978428351309707,38.09277126830898,176.0836884513512,1.0085270486661335,0.5908352719761224
14,D'Arcy Short,282.0,2858.0269202221084,2639.0,62,1932,68,42.564516129032256,136.59420289855072,0.3414855072463768,0.5463768115942028,46.09720839067917,147.9310000114963,1.0072480726969224,0.5900032419356668
15,Jos Buttler,188.0,2386.66187219381,2176.0,56,1493,62,38.85714285714285,145.74681848626926,0.3643670462156732,0.5829872739450771,42.61896200346089,159.8567898321373,1.0064735601789545,0.5894993875262239
16,Jonny Bairstow,54.0,1550.4727004428487,1393.0,38,941,41,36.6578947368421,148.03400637619555,0.3700850159404888,0.5921360255047822,40.80191316954865,164.76861853802856,1.0003692802124573,0.5855282853087131
17,David Warner,72.0,2548.602793155589,2327.0,56,1738,69,41.55357142857143,133.88952819332567,0.3347238204833141,0.5355581127733027,45.51076416349266,146.63997659123066,0.9928417958030706,0.58063132609412
18,Kieron Pollard,117.0,3184.341430496921,2862.0,84,1840,118,34.07142857142857,155.54347826086956,0.3888586956521739,0.6221739130434782,37.90882655353478,173.06203426613703,0.992694565236989,0.5805355461445336
19,Hardik Pandya,118.0,1300.0616966318246,1208.0,36,729,57,33.55555555555556,165.70644718792866,0.4142661179698216,0.6628257887517146,36.11282490643957,178.33493780957812,0.9884681543849682,0.5777860802617946
